aalib 1.4rc5-14
netcdf 4.7.4-1
netpbm 10.73.33-1
netstandard-targeting-pack 5.0.4.sdk104-1
nettle 3.7.1-1
networkmanager 1.30.2-1
nginx 1.18.0-2
ninja 1.10.2-1
nmap 7.91-1
node-gyp 7.1.2-1
nodejs 15.12.0-1
noto-fonts 20201226-1
noto-fonts-emoji 20200916-1
npm 7.6.3-1
npth 1.6-3
nspr 4.30-1
nss 3.63-1
ntfs-3g 2017.3.23-5
nvidia 460.67-1
nvidia-settings 460.67-1
nvidia-utils 460.67-1
oath-toolkit 2.6.6-1
obs-studio 26.1.2-1
ocl-icd 2.2.14-1
openal 1.21.1-1
opencascade 7.5.0-3
opencollada 1:1.6.68-2
opencolorio1 1.1.1-2
opencore-amr 0.1.5-5
openexr 2.5.5-1
openimagedenoise 1.3.0-1
openimageio 2.2.12.0-1
openjpeg2 2.4.0-1
openmpi 4.0.5-2
opensc 0.21.0-1
openshadinglanguage 1.11.12.0-1
openssh 8.5p1-1
openssl 1.1.1.j-1
openssl-1.0 1.0.2.u-1
opensubdiv 3.4.3-5
openvdb 8.0.1-1
openxr 1.0.14-1
opus 1.3.1-2
orc 0.4.32-1
p11-kit 0.23.22-1
p7zip 17.03-2
packettracer 8.0-1
pacman 5.2.2-2
pacman-mirrorlist 20210302-1
pahole 1.20-2
pam 1.5.1-1
pambase 20200721.1-2
pango 1:1.48.3-1
pangomm 2.46.0-1
parted 3.4-2
pass 1.7.3-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.36-1
pcsclite 1.9.1-1
pepper-flash 32.0.0.465-1
perl 5.32.1-1
perl-clone 0.45-2
perl-encode-locale 1.05-7
perl-error 0.17029-2
perl-file-listing 6.14-1
perl-html-parser 3.76-1
perl-html-tagset 3.20-10
perl-http-cookies 6.10-1
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.29-1
perl-http-negotiate 6.01-8
perl-io-html 1.004-1
perl-libwww 6.53-1
perl-lwp-mediatypes 6.02-8
perl-mailtools 2.21-4
perl-net-http 6.21-1
perl-parse-yapp 1.21-3
perl-timedate 2.33-2
perl-try-tiny 0.30-5
perl-uri 5.09-1
perl-www-robotrules 6.02-8
